postcode	suburb	no_permits	opacity	cost_of_works
3550	BENDIGO	550	0.5000	66586055
3551	ARNOLD	671	0.6100	80493722
3552	BENDIGO	29	0.0264	7633603
3555	BIG HILL	294	0.2673	34631283
3556	CALIFORNIA GULLY	203	0.1845	23691463
3557	FOSTERVILLE	14	0.0127	2173492
3558	COROP WEST	14	0.0127	1807759
3559	BURRAMBOOT	7	0.0064	752224
3561	BALLENDELLA	59	0.0536	4108298
3562	TORRUMBARRY	5	0.0045	494706
3563	LOCKINGTON	5	0.0045	598649
3564	ECHUCA	256	0.2327	31022021
3565	KOTTA	1	0.0009	9190
3566	GUNBOWER	3	0.0027	31234
3567	LEITCHVILLE	2	0.0018	21388
3568	BURKES BRIDGE	32	0.0291	3086284
3570	KAMAROOKA	6	0.0055	505251
3571	DINGEE	3	0.0027	379400
3572	TENNYSON	3	0.0027	351721
3573	CALIVIL	4	0.0036	458327
3575	MOLOGA	13	0.0118	1455332
3579	APPIN SOUTH	61	0.0555	24999983
3580	KOONDROOK	14	0.0127	380281
3581	LAKE CHARM	3	0.0027	488019
3583	TRESCO	2	0.0018	42400
3584	LAKE BOGA	15	0.0136	130400
3585	CASTLE DONNINGTON	162	0.1473	18012747
3586	MURRAYDALE	7	0.0064	375090
3588	WOORINEN SOUTH	1	0.0009	5500
3589	WOORINEN	6	0.0055	1101684
3590	BEVERFORD	1	0.0009	11500
3594	NYAH	8	0.0073	109942
3595	NYAH WEST	5	0.0045	52945
3596	WOOD WOOD	3	0.0027	270000
3597	LAKE POWELL	6	0.0055	389579
3599	BOUNDARY BEND	3	0.0027	189000
3607	TABILK	2	0.0018	66295
3608	BAILIESTON	46	0.0418	7428584
3610	DHURRINGILE	8	0.0073	640642
3612	RUSHWORTH	15	0.0136	1617953
3614	TOOLAMBA	14	0.0127	1670267
3616	GIRGARRE EAST	69	0.0627	7485241
3618	MERRIGUM	6	0.0055	592531
3619	KYABRAM	5	0.0045	248855
3620	KYABRAM	63	0.0573	7846242
3621	TONGALA	15	0.0136	277864
3622	KOYUGA	3	0.0027	216000
3623	STANHOPE	6	0.0055	136898
3624	GIRGARRE	3	0.0027	83882
3629	ARDMONA	57	0.0518	3942184
3630	SHEPPARTON	290	0.2636	47833605
3631	ARCADIA	195	0.1773	23217604
3632	SHEPPARTON	11	0.0100	1808789
3633	CONGUPNA	7	0.0064	840882
3634	BUNBARTHA	14	0.0127	1455176
3635	KAARIMBA	11	0.0100	443567
3636	NARING	60	0.0545	5505330
3637	WAAIA	7	0.0064	459739
3638	KOTUPNA	29	0.0264	3384116
3639	BARMAH	4	0.0036	117007
3640	KATUNGA	12	0.0109	3334266
3641	BEARII	22	0.0200	1700061
3643	COBRAM	9	0.0082	790513
3644	COBRAM	60	0.0545	8039110
3646	DOOKIE	6	0.0055	374728
3647	DOOKIE COLLEGE	2	0.0018	1016500
3649	KATAMATITE	8	0.0073	581447
3658	BROADFORD	80	0.0727	7850508
3659	TALLAROOK	7	0.0064	912995
3660	HIGHLANDS	81	0.0736	7473690
3661	SEYMOUR	3	0.0027	201924
3663	MANGALORE	3	0.0027	632293
3664	AVENEL	18	0.0164	1373463
3665	LONGWOOD	2	0.0018	260000
3666	BALMATTUM	80	0.0727	7271142
3669	BOHO	24	0.0218	1836330
3670	BADDAGINNIE	8	0.0073	335597
3671	BENALLA	2	0.0018	945691
3672	BENALLA	130	0.1182	8117170
3673	LIMA EAST	26	0.0236	2404343
3675	GLENROWAN	16	0.0145	767595
3676	WANGARATTA	21	0.0191	12478187
3677	WANGARATTA	186	0.1691	21067410
3678	BOORHAMAN	66	0.0600	8707419
3682	BORALMA	3	0.0027	51625
3683	CHILTERN	16	0.0145	894026
3685	BRIMIN	33	0.0300	1818088
3687	WAHGUNYAH	17	0.0155	1923614
3688	BARNAWARTHA	14	0.0127	2250045
3689	WODONGA	14	0.0127	9697942
3690	WEST WODONGA	330	0.3000	48930343
3691	ALLANS FLAT	158	0.1436	39313037
3695	HUON	4	0.0036	173111
3697	TAWONGA	4	0.0036	159407
3698	TAWONGA SOUTH	17	0.0155	1803909
3699	BOGONG	45	0.0409	4066163
3700	BULLIOH	18	0.0164	3443311
3701	DARTMOUTH	14	0.0127	1018959
3705	CUDGEWA	1	0.0009	29370
3707	COLAC COLAC	28	0.0255	1301357
3709	WALWA	1	0.0009	10200
3711	BUXTON	20	0.0182	2335213
3712	RUBICON	4	0.0036	365000
3713	EILDON	20	0.0182	2042049
3714	ACHERON	54	0.0491	4250496
3715	MERTON	4	0.0036	602320
3717	FLOWERDALE	45	0.0409	6209715
3718	MOLESWORTH	1	0.0009	150000
3719	GOBUR	10	0.0091	742272
3720	BONNIE DOON	29	0.0264	2681892
3722	BARWITE	70	0.0636	8029465
3723	BARJARG	45	0.0409	6146931
3724	MANSFIELD	13	0.0118	1204743
3725	CHESNEY VALE	5	0.0045	191058
3726	THOONA	2	0.0018	281439
3727	LAKE ROWAN	4	0.0036	773720
3728	TUNGAMAH	13	0.0118	347764
3730	BUNDALONG	176	0.1600	19059820
3732	MOYHU	2	0.0018	10000
3733	WHITFIELD	5	0.0045	601500
3735	BOWMANS FOREST	1	0.0009	140000
3736	MYRTLEFORD	3	0.0027	314954
3737	BUFFALO RIVER	60	0.0545	4447426
3738	OVENS	1	0.0009	4500
3740	BUCKLAND	22	0.0200	2089005
3741	BRIGHT	72	0.0655	6538638
3744	WANDILIGONG	11	0.0100	1212510
3746	ELDORADO	5	0.0045	384170
3747	BEECHWORTH	77	0.0700	10697950
3749	BRUARONG	31	0.0282	2361268
3750	WOLLERT	271	0.2464	62115684
3751	WOODSTOCK	2	0.0018	56085
3752	SOUTH MORANG	169	0.1536	42008353
3753	BEVERIDGE	63	0.0573	13263996
3754	DOREEN	816	0.7418	161053431
3756	CHINTIN	204	0.1855	37122651
3757	EDEN PARK	128	0.1164	24161314
3758	HEATHCOTE JUNCTION	13	0.0118	1365032
3759	PANTON HILL	12	0.0109	727990
3760	SMITHS GULLY	6	0.0055	328310
3761	ST ANDREWS	12	0.0109	1505819
3763	KINGLAKE	34	0.0309	2769011
3764	GLENAROUA	191	0.1736	29652622
3765	MONTROSE	62	0.0564	3784675
3766	KALORAMA	2	0.0018	64507
3767	MOUNT DANDENONG	20	0.0182	3214585
3770	COLDSTREAM	29	0.0264	2797995
3775	CHRISTMAS HILLS	48	0.0436	6598747
3777	BADGER CREEK	93	0.0845	8083906
3778	NARBETHONG	4	0.0036	512200
3779	MARYSVILLE	27	0.0245	26293226
3781	COCKATOO	32	0.0291	2515617
3782	AVONSLEIGH	58	0.0527	12319339
3783	GEMBROOK	42	0.0382	5662435
3786	FERNY CREEK	13	0.0118	2586611
3787	SASSAFRAS	5	0.0045	220840
3788	OLINDA	16	0.0145	1036105
3789	SHERBROOKE	1	0.0009	9752
3791	KALLISTA	10	0.0091	830939
3792	THE PATCH	8	0.0073	235255
3793	MONBULK	20	0.0182	1700269
3795	SILVAN	9	0.0082	620810
3796	MOUNT EVELYN	83	0.0755	5907353
3797	GLADYSDALE	36	0.0327	4117656
3799	EAST WARBURTON	51	0.0464	4678811
3802	ENDEAVOUR HILLS	89	0.0809	6185946
3803	HALLAM	62	0.0564	15470711
3804	NARRE WARREN EAST	106	0.0964	13664034
3805	FOUNTAIN GATE	358	0.3255	52204385
3806	BERWICK	348	0.3164	89705323
3807	BEACONSFIELD	69	0.0627	12641596
3808	BEACONSFIELD UPPER	29	0.0264	4548513
3809	OFFICER	204	0.1855	50071668
3810	PAKENHAM	624	0.5673	144914407
3812	MARYKNOLL	19	0.0173	1561096
3813	TYNONG	10	0.0091	3285361
3814	CORA LYNN	25	0.0227	3196413
3815	BUNYIP	49	0.0445	5679144
3816	LABERTOUCHE	49	0.0445	8393713
3818	DROUIN	240	0.2182	35953078
3820	LILLICO	297	0.2700	46658691
3821	BRANDY CREEK	47	0.0427	3535606
3822	CLOVERLEA	26	0.0236	1060501
3823	ALLAMBEE	44	0.0400	3974339
3824	NARRACAN	68	0.0618	5715039
3825	ERICA	178	0.1618	15947516
3831	NEERIM	26	0.0236	2803090
3832	NAYOOK	3	0.0027	49357
3833	NOOJEE	7	0.0064	2712954
3835	THORPDALE	7	0.0064	1093730
3840	HAZELWOOD	157	0.1427	22945623
3842	CHURCHILL	40	0.0364	3400513
3844	CALLIGNEE	318	0.2891	35013618
3847	NAMBROK	36	0.0327	5284324
3850	SALE	188	0.1709	22426595
3851	AIRLY	116	0.1055	12051034
3853	SALE	1	0.0009	175000
3854	GLENGARRY	23	0.0209	957194
3856	TOONGABBIE	13	0.0118	669610
3857	COWWARR	4	0.0036	41980
3858	DAWSON	76	0.0691	5155694
3859	MAFFRA WEST UPPER	14	0.0127	867125
3860	BOISDALE	117	0.1064	9812975
3862	COBBANNAH	45	0.0409	2733481
3864	FERNBANK	6	0.0055	485860
3865	LINDENOW	8	0.0073	732744
3869	YINNAR	11	0.0100	367364
3870	BOOLARRA	19	0.0173	1176826
3871	BAROMI	41	0.0373	4286589
3874	WOODSIDE	9	0.0082	557662
3875	BAIRNSDALE	304	0.2764	54885743
3878	EAGLE POINT	10	0.0091	1636522
3880	PAYNESVILLE	78	0.0709	14120557
3882	NICHOLSON	17	0.0155	1782532
3885	BRUTHEN	12	0.0109	271046
3886	NEWMERELLA	4	0.0036	851600
3887	WAIREWA	1	0.0009	20200
3888	BENDOC	39	0.0355	2506513
3889	BEMM RIVER	1	0.0009	25000
3890	TAMBOON	1	0.0009	100000
3892	MALLACOOTA	15	0.0136	2177028
3893	TAMBO CROSSING	1	0.0009	12500
3895	ENSAY	2	0.0018	530000
3896	SWIFTS CREEK	4	0.0036	73260
3898	CASSILIS	9	0.0082	1206120
3900	BENAMBRA	2	0.0018	297870
3902	JOHNSONVILLE	5	0.0045	693662
3903	SWAN REACH	8	0.0073	1575606
3904	METUNG	36	0.0327	5981393
3909	KALIMNA	91	0.0827	8980957
3910	LANGWARRIN	206	0.1873	34657886
3911	BAXTER	28	0.0255	3092631
3912	PEARCEDALE	119	0.1082	15573516
3913	TYABB	40	0.0364	5958318
3915	HASTINGS	63	0.0573	15313986
3916	MERRICKS	38	0.0345	22758283
3918	BITTERN	43	0.0391	3471532
3919	CRIB POINT	28	0.0255	2453864
3921	FRENCH ISLAND	2	0.0018	550000
3922	COWES	246	0.2236	32630518
3923	RHYLL	17	0.0155	7175075
3925	CAPE WOOLAMAI	69	0.0627	6065539
3926	BALNARRING	60	0.0545	10762849
3927	SOMERS	28	0.0255	6157713
3928	MAIN RIDGE	10	0.0091	2706343
3929	FLINDERS	42	0.0382	18264528
3930	MOUNT ELIZA	211	0.1918	30238219
3931	MORNINGTON	259	0.2355	72079909
3933	MOOROODUC	16	0.0145	860312
3934	MOUNT MARTHA	256	0.2327	49858939
3936	ARTHURS SEAT	234	0.2127	51952918
3937	RED HILL	36	0.0327	9077271
3938	MCCRAE	70	0.0636	8121736
3939	BONEO	231	0.2100	31956917
3940	ROSEBUD WEST	42	0.0382	5918765
3941	RYE	219	0.1991	28515197
3942	BLAIRGOWRIE	120	0.1091	20109333
3943	SORRENTO	101	0.0918	31319560
3944	PORTSEA	64	0.0582	18703660
3945	JEETHO	14	0.0127	780386
3950	KARDELLA SOUTH	66	0.0600	7979903
3951	ARAWATA	25	0.0227	2635406
3953	BERRYS CREEK	93	0.0845	12322835
3954	KOONWARRA	5	0.0045	1042187
3956	DUMBALK	70	0.0636	6712322
3957	STONY CREEK	3	0.0027	232932
3959	FISH CREEK	41	0.0373	4575830
3960	BOOLARONG	56	0.0509	4805101
3962	AGNES	13	0.0118	1815796
3964	PORT FRANKLIN	5	0.0045	42790
3965	PORT WELSHPOOL	9	0.0082	338252
3966	BINGINWARRI	10	0.0091	495759
3967	HEDLEY	3	0.0027	118200
3971	ALBERTON	62	0.0564	4650362
3975	LYNBROOK	143	0.1300	25064192
3976	HAMPTON PARK	111	0.1009	13787134
3977	BOTANIC RIDGE	1263	1.1482	239300475
3978	CARDINIA	541	0.4918	130243893
3979	KERNOT	1	0.0009	7480
3980	BLIND BIGHT	21	0.0191	1908107
3981	BAYLES	67	0.0609	8322020
3984	ADAMS ESTATE	81	0.0736	8574119
3987	NYORA	15	0.0136	1061840
3988	MOUNTAIN VIEW	14	0.0127	1586105
3990	GLEN FORBES	1	0.0009	80000
3991	BASS	3	0.0027	602410
3992	DALYSTON	12	0.0109	1511865
3995	CAPE PATERSON	188	0.1709	27288490
3996	INVERLOCH	149	0.1355	19094067
8002	EAST MELBOURNE	5	0.0045	1157070
8012	DOCKLANDS	7	0.0064	1303092
